name,longitude,latitude,stateProvince,year,month,day,eventDate,individualCount
Asclepias subverticillata (Gray) Vail,-99.815,24.1,Nuevo leon,1980,7,3,1980-07-03,1
Asclepias subverticillata (Gray) Vail,-100.209439,24.380831,Nuevo leon,1980,7,5,1980-07-05,1
Asclepias subverticillata (Gray) Vail,-100.209444,24.380833,Nuevo leon,1980,7,5,1980-07-05,1
Asclepias subverticillata (Gray) Vail,-91.981389,16.315278,Chiapas,1980,7,3,1980-07-03,1
Asclepias subverticillata (Gray) Vail,-100.20944,24.38083,Nuevo leon,1980,7,3,1980-07-03,1
Asclepias subverticillata (Gray) Vail,-105.84601,32.94878,New Mexico,1980,7,23,1980-07-23,1
Asclepias subverticillata (Gray) Vail,-100.138,20.52528,Queretaro,1980,8,9,1980-08-09,1
Asclepias subverticillata (Gray) Vail,-99.861111,22.253889,San luis potosi,1979,7,27,1979-07-27,1
Asclepias subverticillata (Gray) Vail,-108.271275,33.232185,New Mexico,1979,7,24,1979-07-24,1
Asclepias subverticillata (Gray) Vail,-106.044939,31.924829,Texas,1979,8,11,1979-08-11,1
Asclepias subverticillata (Gray) Vail,-101.18333,20.38333,Guanajuato,1979,9,15,1979-09-15,1
Asclepias subverticillata (Gray) Vail,-106.529371,31.907589,Texas,1978,5,28,1978-05-28,1
Asclepias subverticillata (Gray) Vail,-106.066667,31.833333,Texas,1978,6,10,1978-06-10,1
Asclepias subverticillata (Gray) Vail,-100.35555600000001,25.613333,Nuevo leon,1978,6,11,1978-06-11,1
Asclepias subverticillata (Gray) Vail,-100.35626786788339,25.613676835574964,Nuevo leon,1978,6,11,1978-06-11,1
Asclepias subverticillata (Gray) Vail,-104.593056,24.0275,Durango,1978,8,19,1978-08-19,1
Asclepias subverticillata (Gray) Vail,-102.25,22.520278,Zacatecas,1977,1,8,1977-01-08,1
Asclepias subverticillata (Gray) Vail,-106.046389,31.924444,Texas,1977,6,25,1977-06-25,1
Asclepias subverticillata (Gray) Vail,-101.521667,22.489167,Zacatecas,1977,8,27,1977-08-27,1
Asclepias subverticillata (Gray) Vail,-104.05,30.533333,Texas,1977,9,4,1977-09-04,1
Asclepias subverticillata (Gray) Vail,-106.558789,31.807073,New Mexico,1976,8,12,1976-08-12,1
Asclepias subverticillata (Gray) Vail,-106.825417,32.290353,New Mexico,1975,8,5,1975-08-05,1
Asclepias subverticillata (Gray) Vail,-106.37944,29.13444,Chihuahua,1974,6,10,1974-06-10,1
Asclepias subverticillata (Gray) Vail,-104.12833,26.52528,Durango,1974,7,23,1974-07-23,1
Asclepias subverticillata (Gray) Vail,-102.6,27.65,Coahuila de zaragoza,1972,6,10,1972-06-10,1
Asclepias subverticillata (Gray) Vail,-102.6,27.65,Coahuila de zaragoza,1972,6,10,1972-06-10,1
Asclepias subverticillata (Gray) Vail,-104.666667,27.35,Chihuahua,1972,8,25,1972-08-25,1
Asclepias subverticillata (Gray) Vail,-104.667,27.35,Chihuahua,1972,8,25,1972-08-25,1
Asclepias subverticillata (Gray) Vail,-102.95,27.133,Coahuila de zaragoza,1972,9,21,1972-09-21,1
Asclepias subverticillata (Gray) Vail,-103.725,26.101667,Durango,1971,3,31,1971-03-31,1
Asclepias subverticillata (Gray) Vail,-103.478889,25.315556,Coahuila de zaragoza,1971,8,21,1971-08-21,1
Asclepias subverticillata (Gray) Vail,-104.45,26.983,Chihuahua,1971,8,24,1971-08-24,1
Asclepias subverticillata (Gray) Vail,-106.581557,31.807441,Texas,1971,8,26,1971-08-26,1
Asclepias subverticillata (Gray) Vail,-106.65417,31.60306,Chihuahua,1970,7,10,1970-07-10,1
Asclepias subverticillata (Gray) Vail,-100.84694,20.23333,Guanajuato,1970,8,31,1970-08-31,1
Asclepias subverticillata (Gray) Vail,-100.38333,24.06667,Nuevo leon,1970,9,NA,1970-09-01,1
Asclepias subverticillata (Gray) Vail,-100.561111,24.969722,Nuevo leon,1969,6,7,1969-06-07,1
Asclepias subverticillata (Gray) Vail,-103.616667,25.883333,Durango,1967,8,16,1967-08-16,1
Asclepias subverticillata (Gray) Vail,-104.31841592655685,26.733283944616293,Durango,1967,8,16,1967-08-16,1
Asclepias subverticillata (Gray) Vail,-104.329167,26.784722,Chihuahua,1967,8,16,1967-08-16,1
Asclepias subverticillata (Gray) Vail,-103.740556,26.118056,Durango,1967,8,16,1967-08-16,1
Asclepias subverticillata (Gray) Vail,-100.62686913391778,25.087737839346712,Distrito federal,1966,5,27,1966-05-27,1
Asclepias subverticillata (Gray) Vail,-100.686389,25.139444,Nuevo leon,1965,7,9,1965-07-09,1
